"","cod"
"271","5A1D80Z"
"272","5A1D90Z"
"273","5A2204Z"
"274","8000/0"
"275","8000/1"
"276","8000/3"
"277","8000/39"
"278","8000/6"
"279","8010/3"
"280","8010/39"
"281","8010/6"
"282","8010/9"
"283","8012/39"
"284","8012/6"
"285","8013/3"
"286","8013/6"
"287","8041/39"
"288","8041/6"
"289","8046/39"
"290","8046/6"
"291","8070/39"
"292","8070/6"
"293","8090/39"
"294","8120/3"
"295","8120/39"
"296","8120/6"
"297","8130/2"
"298","8130/29"
"299","8130/39"
"300","8140/0"
"301","8140/3"
"302","8140/31"
"303","8140/32"
"304","8140/33"
"305","8140/39"
"306","8140/6"
"307","8144/39"
"308","8144/6"
"309","8160/39"
"310","8160/6"
"311","8170/31"
"312","8170/39"
"313","8211/0"
"314","8213/0"
"315","8246/33"
"316","8246/39"
"317","8246/6"
"318","8260/31"
"319","8260/6"
"320","8272/0"
"321","8312/3"
"322","8312/39"
"323","8312/6"
"324","8370/0"
"325","8440/0"
"326","8441/39"
"327","8441/6"
"328","8461/6"
"329","8500/3"
"330","8500/31"
"331","8500/39"
"332","8500/6"
"333","8520/32"
"334","8520/6"
"335","8720/39"
"336","8720/6"
"337","8730/39"
"338","8730/6"
"339","8744/39"
"340","8850/0"
"341","8860/0"
"342","8861/0"
"343","8870/0"
"344","8895/0"
"345","8950/6"
"346","8E01XY7"
"347","8E0ZXY6"
"348","9050/39"
"349","9050/6"
"350","9120/0"
"351","9120/39"
"352","9220/0"
"353","9231/39"
"354","9231/6"
"355","9530/0"
"356","9560/0"
"357","9591/3"
"358","9650/3"
"359","9650/39"
"360","9670/3"
"361","9680/3"
"362","9680/36"
"363","9690/3"
"364","9691/3"
"365","9695/3"
"366","9698/3"
"367","9699/3"
"368","9731/3"
"369","9732/3"
"370","9761/3"
"371","9765/1"
"372","9801/3"
"373","9823/3"
"374","9823/36"
"375","9834/3"
"376","9835/3"
"377","9860/3"
"378","9861/3"
"379","9863/3"
"380","9872/3"
"381","9891/3"
"382","9895/3"
"383","9945/3"
"384","9950/3"
"385","9950/39"
"386","9960/39"
"387","9961/3"
"388","9962/3"
"389","9962/39"
"390","9983/3"
"391","9985/3"
"392","9985/39"
"393","9989/3"
"394","9989/39"
"395","A04.72"
"396","A08.39"
"397","A08.4"
"398","A15.0"
"399","A41.01"
"400","A41.02"
"401","A41.1"
"402","A41.51"
"403","A41.52"
"404","A41.59"
"405","A41.81"
"406","A41.9"
"407","A49.1"
"408","A49.8"
"409","A49.9"
"410","A81.2"
"411","A86"
"412","B00.2"
"413","B00.4"
"414","B02.29"
"415","B02.30"
"416","B02.39"
"417","B02.8"
"418","B02.9"
"419","B0201ZZ"
"420","B020Y0Z"
"421","B020YZZ"
"422","B020ZZZ"
"423","B030YZZ"
"424","B030ZZZ"
"425","B07.9"
"426","B15.9"
"427","B17.2"
"428","B17.9"
"429","B18.1"
"430","B18.2"
"431","B19.10"
"432","B19.20"
"433","B20"
"434","B2111ZZ"
"435","B2211ZZ"
"436","B221ZZZ"
"437","B236YZZ"
"438","B236ZZZ"
"439","B241ZZZ"
"440","B246ZZ4"
"441","B246ZZZ"
"442","B25.8"
"443","B31SYZZ"
"444","B3201ZZ"
"445","B320YZZ"
"446","B320ZZZ"
"447","B325ZZZ"
"448","B328ZZZ"
"449","B32R1ZZ"
"450","B32RYZZ"
"451","B32RZZZ"
"452","B32S1ZZ"
"453","B32SYZZ"
"454","B32SZZZ"
"455","B32T1ZZ"
"456","B32TYZZ"
"457","B32TZZZ"
"458","B34.2"
"459","B34.9"
"460","B341ZZZ"
"461","B342ZZZ"
"462","B345ZZZ"
"463","B348ZZZ"
"464","B34RZZZ"
"465","B36.8"
"466","B37.0"
"467","B37.1"
"468","B37.2"
"469","B37.3"
"470","B37.41"
"471","B37.49"
"472","B37.7"
"473","B37.81"
"474","B37.89"
"475","B37.9"
"476","B420YZZ"
"477","B43.2"
"478","B44.1"
"479","B44FZZZ"
"480","B49"
"481","B52H1ZZ"
"482","B52SYZZ"
"483","B54BZZZ"
"484","B54CZZZ"
"485","B54DZZZ"
"486","B54LZZZ"
"487","B54MZZZ"
"488","B54PZZZ"
"489","B67.8"
"490","B81.0"
"491","B90.9"
"492","B91"
"493","B95.2"
"494","B95.4"
"495","B95.5"
"496","B95.61"
"497","B95.62"
"498","B95.7"
"499","B96.1"
"500","B96.20"
"501","B96.4"
"502","B96.5"
